LE,SE,Net Profit,Gross Profit,Gross Loss,Total Trades,Pct Profitable,Winning Trades,Losing Trades,Avg Trade,Avg Winning Trade,Avg Losing Trade,Win/Loss Ratio,Max Consecutive Winners,Max Consecutive Losers,Avg Bars in Winner,Avg Bars in Loser,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,objective,plateau_score
1.0,1.0,-118400.0,10920800.0,-11039200.0,474.0,35.443,168.0,306.0,-249.789,65004.8,-36075.8,1.80189,5.0,13.0,4.81548,2.40523,-1549600.0,0.989275,-7.86711,0.0,0.0,0.0
1.0,2.0,121400.0,9255000.0,-9133600.0,347.0,37.7522,131.0,216.0,349.856,70648.9,-42285.2,1.67077,6.0,8.0,6.17557,2.76389,-1446600.0,1.01329,9.52456,0.0,10187.999446979124,0.0
1.0,3.0,1257200.0,8593200.0,-7336000.0,281.0,39.1459,110.0,171.0,4474.02,78120.0,-42900.6,1.82095,6.0,7.0,7.33636,3.08187,-1113400.0,1.17137,131.948,0.0,1419572.3369858093,0.0
1.0,4.0,1114600.0,8244200.0,-7129600.0,243.0,37.4486,91.0,152.0,4586.83,90595.6,-46905.3,1.93146,5.0,7.0,8.68132,3.28947,-1502200.0,1.15633,83.6536,0.0,827009.1598988151,0.0
1.0,5.0,1347600.0,7843400.0,-6495800.0,216.0,37.037,80.0,136.0,6238.89,98042.5,-47763.2,2.05268,4.0,9.0,9.65,3.58088,-1348400.0,1.20746,124.043,0.0,1346800.4746366064,56486.85229117243
1.0,6.0,1412200.0,7762000.0,-6349800.0,199.0,36.6834,73.0,126.0,7096.48,106329.0,-50395.2,2.1099,4.0,9.0,10.411,3.78571,-1513600.0,1.2224,115.282,0.0,1317593.0496828752,210347.95687475044
1.0,7.0,1584000.0,7724600.0,-6140600.0,187.0,34.2246,64.0,123.0,8470.59,120697.0,-49923.6,2.41763,5.0,10.0,11.375,4.11382,-1740000.0,1.25796,109.68,0.0,1441986.2068965517,167858.8729537882
1.0,8.0,1350400.0,7517000.0,-6166600.0,178.0,33.1461,59.0,119.0,7586.52,127407.0,-51820.2,2.45863,5.0,10.0,12.3898,4.14286,-1772400.0,1.21899,91.4533,0.0,1028876.1904761905,147571.1451495259
1.0,9.0,1278000.0,7348800.0,-6070800.0,167.0,33.5329,56.0,110.0,7652.69,131229.0,-55189.1,2.3778,4.0,10.0,13.5536,4.07273,-1692800.0,1.21052,91.4817,0.0,964841.6824196597,89968.44839371156
1.0,10.0,1493400.0,7105800.0,-5612400.0,156.0,33.9744,53.0,101.0,9573.08,134072.0,-55568.3,2.41274,4.0,8.0,14.0189,4.41584,-1525200.0,1.26609,117.111,0.0,1462263.0212431157,89968.44839371156
1.0,11.0,1372800.0,6870000.0,-5497200.0,149.0,34.2282,51.0,97.0,9213.42,134706.0,-56672.2,2.37693,4.0,8.0,14.5098,4.57732,-1569800.0,1.24973,107.772,0.0,1200522.2576124347,41024.41905250995
1.0,12.0,964000.0,6487400.0,-5523400.0,144.0,33.3333,48.0,96.0,6694.44,135154.0,-57535.4,2.34906,4.0,8.0,15.2292,4.625,-1576800.0,1.17453,75.2655,0.0,589355.6570268899,10529.160812364287
1.0,13.0,986000.0,6417200.0,-5431200.0,138.0,33.3333,46.0,92.0,7144.93,139504.0,-59034.8,2.36309,4.0,8.0,15.4348,4.98913,-1630800.0,1.18154,73.8687,0.0,596146.6764778023,10529.160812364287
1.0,14.0,780800.0,6224000.0,-5443200.0,136.0,32.3529,44.0,92.0,5741.18,141455.0,-59165.2,2.39084,4.0,8.0,15.6591,5.19565,-1634800.0,1.14345,58.3209,0.0,372919.4029850746,10529.160812364287
1.0,15.0,790200.0,6104800.0,-5314600.0,132.0,33.3333,44.0,88.0,5986.36,138745.0,-60393.2,2.29737,4.0,8.0,16.0455,5.19318,-1612200.0,1.14868,60.0365,0.0,387306.81056940823,10529.160812364287
1.0,16.0,1036200.0,6359400.0,-5323200.0,128.0,32.8125,42.0,86.0,8095.31,151414.0,-61897.7,2.4462,4.0,8.0,16.7381,5.23256,-1657400.0,1.19466,76.1128,0.0,647828.1887293351,10529.160812364287
1.0,17.0,1290600.0,6346600.0,-5056000.0,123.0,33.3333,41.0,82.0,10492.7,154795.0,-61658.5,2.51052,4.0,8.0,17.6829,5.14634,-1510600.0,1.25526,106.257,0.0,1102640.2489077188,12799.236735196357
1.0,18.0,1642200.0,6273000.0,-4630800.0,114.0,35.0877,40.0,74.0,14405.3,156825.0,-62578.4,2.50606,6.0,8.0,18.075,5.59459,-1473800.0,1.35463,139.429,0.0,1829841.7967159722,180632.79434662833
