LE,SE,Net Profit,Gross Profit,Gross Loss,Total Trades,Pct Profitable,Winning Trades,Losing Trades,Avg Trade,Avg Winning Trade,Avg Losing Trade,Win/Loss Ratio,Max Consecutive Winners,Max Consecutive Losers,Avg Bars in Winner,Avg Bars in Loser,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value
1,1,-118400,1.09208e+07,-1.10392e+07,474,35.443,168,306,-249.789,65004.8,-36075.8,1.80189,5,13,4.81548,2.40523,-1.5496e+06,0.989275,-7.86711,0
1,2,121400,9.255e+06,-9.1336e+06,347,37.7522,131,216,349.856,70648.9,-42285.2,1.67077,6,8,6.17557,2.76389,-1.4466e+06,1.01329,9.52456,0
1,3,1.2572e+06,8.5932e+06,-7.336e+06,281,39.1459,110,171,4474.02,78120,-42900.6,1.82095,6,7,7.33636,3.08187,-1.1134e+06,1.17137,131.948,0
1,4,1.1146e+06,8.2442e+06,-7.1296e+06,243,37.4486,91,152,4586.83,90595.6,-46905.3,1.93146,5,7,8.68132,3.28947,-1.5022e+06,1.15633,83.6536,0
1,5,1.3476e+06,7.8434e+06,-6.4958e+06,216,37.037,80,136,6238.89,98042.5,-47763.2,2.05268,4,9,9.65,3.58088,-1.3484e+06,1.20746,124.043,0
1,6,1.4122e+06,7.762e+06,-6.3498e+06,199,36.6834,73,126,7096.48,106329,-50395.2,2.1099,4,9,10.411,3.78571,-1.5136e+06,1.2224,115.282,0
1,7,1.584e+06,7.7246e+06,-6.1406e+06,187,34.2246,64,123,8470.59,120697,-49923.6,2.41763,5,10,11.375,4.11382,-1.74e+06,1.25796,109.68,0
1,8,1.3504e+06,7.517e+06,-6.1666e+06,178,33.1461,59,119,7586.52,127407,-51820.2,2.45863,5,10,12.3898,4.14286,-1.7724e+06,1.21899,91.4533,0
1,9,1.278e+06,7.3488e+06,-6.0708e+06,167,33.5329,56,110,7652.69,131229,-55189.1,2.3778,4,10,13.5536,4.07273,-1.6928e+06,1.21052,91.4817,0
1,10,1.4934e+06,7.1058e+06,-5.6124e+06,156,33.9744,53,101,9573.08,134072,-55568.3,2.41274,4,8,14.0189,4.41584,-1.5252e+06,1.26609,117.111,0
1,11,1.3728e+06,6.87e+06,-5.4972e+06,149,34.2282,51,97,9213.42,134706,-56672.2,2.37693,4,8,14.5098,4.57732,-1.5698e+06,1.24973,107.772,0
1,12,964000,6.4874e+06,-5.5234e+06,144,33.3333,48,96,6694.44,135154,-57535.4,2.34906,4,8,15.2292,4.625,-1.5768e+06,1.17453,75.2655,0
1,13,986000,6.4172e+06,-5.4312e+06,138,33.3333,46,92,7144.93,139504,-59034.8,2.36309,4,8,15.4348,4.98913,-1.6308e+06,1.18154,73.8687,0
1,14,780800,6.224e+06,-5.4432e+06,136,32.3529,44,92,5741.18,141455,-59165.2,2.39084,4,8,15.6591,5.19565,-1.6348e+06,1.14345,58.3209,0
1,15,790200,6.1048e+06,-5.3146e+06,132,33.3333,44,88,5986.36,138745,-60393.2,2.29737,4,8,16.0455,5.19318,-1.6122e+06,1.14868,60.0365,0
1,16,1.0362e+06,6.3594e+06,-5.3232e+06,128,32.8125,42,86,8095.31,151414,-61897.7,2.4462,4,8,16.7381,5.23256,-1.6574e+06,1.19466,76.1128,0
1,17,1.2906e+06,6.3466e+06,-5.056e+06,123,33.3333,41,82,10492.7,154795,-61658.5,2.51052,4,8,17.6829,5.14634,-1.5106e+06,1.25526,106.257,0
1,18,1.6422e+06,6.273e+06,-4.6308e+06,114,35.0877,40,74,14405.3,156825,-62578.4,2.50606,6,8,18.075,5.59459,-1.4738e+06,1.35463,139.429,0
1,19,1.513e+06,6.182e+06,-4.669e+06,114,35.0877,40,74,13271.9,154550,-63094.6,2.4495,6,8,18.1,5.58108,-1.5418e+06,1.32405,121.448,0
1,20,1.419e+06,6.0378e+06,-4.6188e+06,110,35.4545,39,71,12900,154815,-65053.5,2.37982,6,8,17.9487,6.05634,-1.6258e+06,1.30722,106.708,0
1,21,1.3434e+06,5.9022e+06,-4.5588e+06,108,32.4074,35,73,12438.9,168634,-62449.3,2.70034,6,8,18.8857,6.41096,-1.723e+06,1.29468,94.1416,0
1,22,1.3602e+06,5.7932e+06,-4.433e+06,106,32.0755,34,72,12832.1,170388,-61569.4,2.76742,6,8,19.3529,6.51389,-1.723e+06,1.30684,95.3189,0
1,23,1.112e+06,5.7554e+06,-4.6434e+06,106,32.0755,34,72,10490.6,169276,-64491.7,2.62478,6,8,19.3824,6.5,-1.83e+06,1.23948,72.4902,0
1,24,959600,5.7004e+06,-4.7408e+06,106,30.1887,32,74,9052.83,178138,-64064.9,2.78058,5,8,19.4375,6.82432,-1.8504e+06,1.20241,61.7344,0
1,25,1.1562e+06,5.7074e+06,-4.5512e+06,102,30.3922,31,71,11335.3,184110,-64101.4,2.87216,5,10,19.1613,7.4507,-1.6168e+06,1.25404,87.5776,0
1,26,1.405e+06,5.6918e+06,-4.2868e+06,98,31.6327,31,67,14336.7,183606,-63982.1,2.86965,5,10,20.0968,7.35821,-1.6162e+06,1.32775,106.423,0
1,27,1.3538e+06,5.6614e+06,-4.3076e+06,98,29.5918,29,69,13814.3,195221,-62429,3.12708,5,10,21.2414,7.24638,-1.6162e+06,1.31428,102.545,0
1,28,1.416e+06,5.7958e+06,-4.3798e+06,96,30.2083,29,67,14750,199855,-65370.1,3.05728,5,10,20.6897,7.58209,-1.6162e+06,1.3233,107.256,0
1,29,1.4366e+06,5.7928e+06,-4.3562e+06,95,30.5263,29,66,15122.1,199752,-66003,3.0264,5,10,20.6897,7.66667,-1.6162e+06,1.32978,108.817,0
1,30,1.3728e+06,5.7788e+06,-4.406e+06,95,29.4737,28,67,14450.5,206386,-65761.2,3.13841,5,10,21.3214,7.59701,-1.6162e+06,1.31158,103.984,0
1,31,1.3076e+06,5.7662e+06,-4.4586e+06,94,29.7872,28,66,13910.6,205936,-67554.5,3.04844,5,10,21.2857,7.68182,-1.6274e+06,1.29328,98.2124,0
1,32,1.1512e+06,5.7182e+06,-4.567e+06,94,28.7234,27,67,12246.8,211785,-68164.2,3.10699,5,10,21.9259,7.62687,-1.6346e+06,1.25207,86.0003,0
1,33,1.016e+06,5.7068e+06,-4.6908e+06,94,28.7234,27,67,10808.5,211363,-70011.9,3.01896,5,10,21.9259,7.62687,-1.7058e+06,1.21659,72.067,0
1,34,1.0604e+06,5.7062e+06,-4.6458e+06,92,29.3478,27,65,11526.1,211341,-71473.8,2.9569,5,10,21.9259,7.83077,-1.7058e+06,1.22825,75.2163,0
1,35,969200,5.7062e+06,-4.737e+06,92,29.3478,27,65,10534.8,211341,-72876.9,2.89997,5,10,21.9259,7.83077,-1.7058e+06,1.2046,68.7473,0
1,36,952400,5.696e+06,-4.7436e+06,91,29.6703,27,64,10465.9,210963,-74118.8,2.84628,5,10,21.9259,7.89062,-1.7142e+06,1.20078,67.1555,0
1,37,953800,5.685e+06,-4.7312e+06,90,28.8889,26,64,10597.8,218654,-73925,2.95778,5,10,21.3077,8.45312,-1.741e+06,1.2016,66.0069,0
1,38,1.091e+06,5.685e+06,-4.594e+06,87,29.8851,26,61,12540.2,218654,-75311.5,2.90333,5,10,21.3077,8.80328,-1.6046e+06,1.23748,83.3715,0
1,39,1.087e+06,5.685e+06,-4.598e+06,87,29.8851,26,61,12494.3,218654,-75377,2.9008,5,10,21.3077,8.80328,-1.6046e+06,1.23641,83.0659,0
1,40,1.0046e+06,5.685e+06,-4.6804e+06,87,29.8851,26,61,11547.1,218654,-76727.9,2.84973,5,10,21.3077,8.80328,-1.6112e+06,1.21464,76.7691,0
1,41,1.5566e+06,5.6904e+06,-4.1338e+06,81,32.0988,26,55,19217.3,218862,-75160,2.91194,5,10,22.0385,9.52727,-1.6046e+06,1.37655,118.952,0
1,42,1.5306e+06,5.6836e+06,-4.153e+06,81,30.8642,25,56,18896.3,227344,-74160.7,3.06556,5,10,20.8,10.3036,-1.6046e+06,1.36855,116.965,0
1,43,1.6056e+06,5.8054e+06,-4.1998e+06,81,32.0988,26,55,19822.2,223285,-76360,2.9241,5,10,22.4615,9.23636,-1.6046e+06,1.3823,122.696,0
1,44,1.6056e+06,5.8054e+06,-4.1998e+06,81,32.0988,26,55,19822.2,223285,-76360,2.9241,5,10,22.4615,9.23636,-1.6046e+06,1.3823,122.696,0
1,45,1.5844e+06,5.8054e+06,-4.221e+06,81,32.0988,26,55,19560.5,223285,-76745.5,2.90942,5,10,22.4615,9.23636,-1.6046e+06,1.37536,121.076,0
1,46,1.5576e+06,5.8054e+06,-4.2478e+06,81,32.0988,26,55,19229.6,223285,-77232.7,2.89106,5,10,22.4615,9.21818,-1.6046e+06,1.36668,119.028,0
1,47,1.5424e+06,5.7752e+06,-4.2328e+06,80,32.5,26,54,19280,222123,-78385.2,2.83374,5,10,22.4231,9.37037,-1.6046e+06,1.36439,117.866,0
1,48,1.4196e+06,5.7508e+06,-4.3312e+06,80,32.5,26,54,17745,221185,-80207.4,2.75766,5,10,22.4231,9.37037,-1.6786e+06,1.32776,102.676,0
1,49,1.522e+06,5.7032e+06,-4.1812e+06,78,33.3333,26,52,19512.8,219354,-80407.7,2.72802,5,10,22.4231,9.69231,-1.5288e+06,1.36401,124.326,0
1,50,1.522e+06,5.7032e+06,-4.1812e+06,78,33.3333,26,52,19512.8,219354,-80407.7,2.72802,5,10,22.4231,9.69231,-1.5288e+06,1.36401,124.326,0
2,1,-1.1652e+06,9.285e+06,-1.04502e+07,387,34.8837,135,252,-3010.85,68777.8,-41469,1.65853,5,14,5.61481,2.7619,-2.3444e+06,0.8885,-52.8723,0
2,2,-1.047e+06,8.0132e+06,-9.0602e+06,294,36.0544,106,188,-3561.22,75596.2,-48192.6,1.56863,6,13,7.09434,3.15957,-2.0362e+06,0.88444,-54.0471,0
2,3,355200,7.4998e+06,-7.1446e+06,236,40.2542,95,141,1505.08,78945.3,-50670.9,1.558,5,9,8.06316,3.60993,-1.0758e+06,1.04972,36.2968,0
2,4,880600,7.365e+06,-6.4844e+06,199,40.7035,81,118,4425.13,90925.9,-54952.5,1.65463,5,9,9.50617,3.92373,-1.1994e+06,1.1358,92.8903,0
2,5,1.0876e+06,7.1486e+06,-6.061e+06,178,39.8876,71,107,6110.11,100685,-56644.9,1.77747,4,9,10.4507,4.40187,-1.0888e+06,1.17944,119.701,0
2,6,1.1844e+06,7.1656e+06,-5.9812e+06,165,37.5758,62,103,7178.18,115574,-58069.9,1.99026,4,9,11.7419,4.49515,-1.2102e+06,1.19802,118.535,0
2,7,764600,6.9108e+06,-6.1462e+06,159,32.7044,52,107,4808.81,132900,-57441.1,2.31367,4,10,13.2115,4.63551,-1.3862e+06,1.1244,65.0613,0
