LE,SE,Net Profit,Gross Profit,Gross Loss,Total Trades,Pct Profitable,Winning Trades,Losing Trades,Avg Trade,Avg Winning Trade,Avg Losing Trade,Win/Loss Ratio,Max Consecutive Winners,Max Consecutive Losers,Avg Bars in Winner,Avg Bars in Loser,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value
105,5,-1.577e+06,2.0914e+07,-2.2491e+07,2058,24.7813,510,1544,-766.278,41007.8,-14566.7,2.81518,4,23,19.1961,10.2241,-1.9304e+06,0.929883,-86.8392,0
105,10,-354200,1.86756e+07,-1.90298e+07,1666,24.3097,405,1261,-212.605,46112.6,-15091,3.05563,3,22,22.284,9.99207,-1.2048e+06,0.981387,-33.3333,0
105,15,-485800,1.63434e+07,-1.68292e+07,1415,24.0283,340,1075,-343.322,48068.8,-15655.1,3.0705,3,19,24.3824,10.6205,-1.0568e+06,0.971134,-46.9372,0
105,20,130000,1.50602e+07,-1.49302e+07,1227,24.9389,306,921,105.949,49216.3,-16210.9,3.03601,3,21,25.2974,10.874,-975200,1.00871,15.3955,0
105,25,-571400,1.37752e+07,-1.43466e+07,1140,24.2982,277,863,-501.228,49730,-16624.1,2.99144,4,17,25.3538,11.0556,-1.0064e+06,0.960172,-60.2234,0
105,30,-157600,1.3705e+07,-1.38626e+07,1080,24.7222,267,813,-145.926,51329.6,-17051.2,3.01033,4,19,25.6667,11.0357,-972200,0.988631,-20.1638,0
105,35,-334400,1.28392e+07,-1.31736e+07,1028,24.4163,251,777,-325.292,51152.2,-16954.4,3.01704,4,19,25.1235,11.3925,-1.161e+06,0.974616,-37.3631,0
105,40,267400,1.27282e+07,-1.24608e+07,977,24.7697,242,735,273.695,52595.9,-16953.5,3.10237,4,17,25.0331,11.4122,-926200,1.02146,36.7914,0
105,45,129400,1.21932e+07,-1.20638e+07,943,24.9205,235,708,137.222,51886,-17039.3,3.04508,4,16,25.9872,11.1427,-798200,1.01073,19.3713,0
105,50,17600,1.20268e+07,-1.20092e+07,928,24.8922,231,697,18.9655,52064.1,-17229.8,3.02174,4,16,25.7532,11.1865,-786600,1.00147,2.42893,0
105,55,423000,1.17826e+07,-1.13596e+07,888,25.5631,227,661,476.351,51905.7,-17185.5,3.02033,4,16,26.1498,11.2632,-634200,1.03724,70.9018,0
105,60,894400,1.15544e+07,-1.066e+07,848,26.1792,222,626,1054.72,52046.8,-17028.8,3.05641,4,16,25.5901,11.6134,-568800,1.0839,182.233,0
105,65,1.0932e+06,1.15224e+07,-1.04292e+07,834,26.3789,220,614,1310.79,52374.5,-16985.7,3.08346,4,15,25.6273,11.4609,-550200,1.10482,231.414,0
105,70,829200,1.1235e+07,-1.04058e+07,826,26.1501,216,610,1003.87,52013.9,-17058.7,3.04911,4,14,25.7315,11.4541,-553200,1.07969,171.535,0
105,75,1.1428e+06,1.09588e+07,-9.816e+06,796,26.6332,212,584,1435.68,51692.5,-16808.2,3.07543,4,13,25.9811,11.6815,-494800,1.11642,277.918,0
105,80,1.022e+06,1.07546e+07,-9.7326e+06,787,26.5565,209,578,1298.6,51457.4,-16838.4,3.05595,4,13,26.11,11.4792,-531600,1.10501,221.981,0
105,85,959800,1.06514e+07,-9.6916e+06,781,26.3764,206,575,1228.94,51705.8,-16855,3.06769,4,12,26.0728,11.4922,-514600,1.09903,212.722,0
105,90,1.0646e+06,1.06484e+07,-9.5838e+06,771,26.5888,205,566,1380.8,51943.4,-16932.5,3.06767,4,12,26.1756,11.5247,-517200,1.11108,221.331,0
105,95,1.1358e+06,1.05736e+07,-9.4378e+06,757,26.6843,202,555,1500.4,52344.6,-17005,3.07818,4,12,25.7871,11.6288,-517200,1.12035,236.133,0
105,100,1.0736e+06,1.04734e+07,-9.3998e+06,748,26.8717,201,547,1435.29,52106.5,-17184.3,3.03222,4,12,25.602,11.3766,-570000,1.11422,219.82,0
110,5,-1.6884e+06,2.08794e+07,-2.25678e+07,2054,24.6835,507,1543,-822.006,41182.2,-14625.9,2.8157,4,23,19.2604,10.1828,-2.0292e+06,0.925185,-88.1763,0
110,10,-450200,1.85944e+07,-1.90446e+07,1661,24.2023,402,1259,-271.042,46254.7,-15126.8,3.05781,3,22,22.2935,9.92931,-1.181e+06,0.976361,-43.3385,0
110,15,-556200,1.6258e+07,-1.68142e+07,1409,24.0596,339,1070,-394.748,47958.7,-15714.2,3.05193,3,19,24.4248,10.5477,-1.0826e+06,0.966921,-52.4321,0
110,20,47800,1.49642e+07,-1.49164e+07,1221,24.8976,304,917,39.1482,49224.3,-16266.5,3.02611,3,21,25.3651,10.8092,-951200,1.0032,5.65012,0
110,25,-633000,1.36786e+07,-1.43116e+07,1133,24.2718,275,858,-558.694,49740.4,-16680.2,2.982,3,18,25.4909,10.979,-1.016e+06,0.95577,-64.1988,0
110,30,-227200,1.3598e+07,-1.38252e+07,1073,24.6039,264,809,-211.743,51507.6,-17089.2,3.01403,4,20,25.7955,10.9827,-1.027e+06,0.983566,-27.4529,0
